content,score,thumbsUpCount,at,year,month,target
아쉬운점은 마켓랭킹에서 브랜드 들어가면 뷰티브랜드가 너무 많아서 본질인 옷브랜드가 다 묻혀요. 다음 업뎃에선 뷰티 칸이 나눠지길..,3,1,2021-05-06 01:01:38,2021,5,1
너무 좋아요. 여기에서 옷사서 예쁘다는 소리 많이 들었습니다 ㅎㅎ 그리고 요즘 화장품 코너도 들어와서 사보려구요 !! 항상 감사합니다 🙂,5,1,2021-04-07 17:40:48,2021,4,1
무료배송인 점이 맘에들지만 옷살때는 괜찮다 생각했지만 옷이아닌 악세사리나 화장품 등등 여러개 구입해야 배송가능한 것이 아쉬운 부분임.,4,0,2021-01-29 11:10:50,2021,1,1
"완전 애용하는 앱이기도 하고 이벤트도 많이하고 쿠폰도 계속 주시고 정말 잘 사용하고 있습니다! 근데 다만 추가되면 더 좋을 것 같은에 있어서 별점4점 드려요! 그게뭐냐면, 뷰티용품이나 그런 여러가지 옷제외 상품들이 더 많이 들어왔으면 좋겠어요! 그럼 에이블리에서 더 많은 것 들을 시킬수있을걱 같은데 항상 화장품이나 향수 등등 판매하지 않아서 꼭 다른 무×사 등등 으로 넘어가서 사용하게 되더라구요ㅜ 그래서 추가됐으면 좋을 것 같아융우ㅜㅜ 그리고 또 쿠폰 사용갯수를 조금 더 늘려주시면 안되나요ㅜ? 쿠폰은 넘쳐나는데 또 쿠폰 기한이 얼마안남아서 사용하려고 하면 3개중 하나밖에 사용못하니까 좀 아깝더라구요ㅜ 그래서 좀 아쉽습니다ㅜㅜㅜㅜ",4,45,2020-10-05 01:29:57,2020,10,1
에이블리 이용하면서 편하고 좋은데 진~~~짜 아쉬운건 결제수단에 편의점결제도 넣어주셨으면 좋겠어요ㅠㅠ 그리고 에이블리에서 옷이나 악세사리뿐만 아니라 뷰티템들도 같이 해결했으면 좋겠어요!! (뷰티 브랜드 페리페라 꼭! 에이블리에 입점되길 바라고 있어요ㅠㅠ) 저한테는 너무나도 편리한 어플이라서 앞으로도 쭉~~ 애용할 것 같아요 >3<,5,189,2020-09-06 22:03:17,2020,9,1
넘좋아요!!잘 쓰고 있어요!!근데..아쉬운점은..리뷰가많이 없다는점..?그리고 렉이 좀 많이 오래 걸린다는점..?그것빼곤 다 좋은것같아요!! 만약 이 앱의 개발자분이 이걸 보신다면...에이블리 처럼 다이어리 꾸미기 재료 파는 쇼핑몰이 모여있는 앱 만들어주셨으면해요!제가다이어리 꾸미기를 하는데..'그런앱이 있었으면 좋겠다..'라고계속 생각했는데..이 앱 개발자분이 만들어주시면..넘 좋을것같아요!!굿즈 파는앱 화장품 파는앱 등등 많이 만들어 주시면 감사하겠습니다!!그리고..코디 하는법?같은것도 만들어주셨으면 해요..코디 잘 하는법이랑 코디하는 법 같은거?를 만들어 주셨으면 좋겠어요..그리고 또 최근 본 상품을 지우는 기능을 만들어 주시면 감사하겠습니다.개발자분 화이팅하세요!!(이 얘기를 어떻게 해야할지 몰라서 이렇게 씁니다..),5,56,2020-07-15 22:09:14,2020,7,1
예쁜 옷들과 좋은 화장품이 많아서 짱 좋은거 같아요!!,5,0,2020-01-22 01:18:51,2020,1,1
좋아하는 화장품이 있어서 찾는더 아무리 찾아도 없었는데 여기있었네요ㅠㅠ 다행이다,5,0,2019-04-25 16:58:29,2019,4,1
이렇게 제마음에 쏙든 쇼핑 어플리케이션은 이게 처음입니다 . 제 언니도 마찬가지로 쇼핑 너무 잘 하고 있어요 무료 배송부터 .. 실제 셀럽들이 쓰는 상품 파니까 ㅋㅋ 다이어트 식품부터 화장품 등등 너무 편하게 잘 구매 하고 있네요 무료 배송 부터 .. 이벤트 특가 기획전까지 너무 좋아요 별점 5점 드려요,5,9,2019-04-22 08:41:24,2019,4,1
다이어트 제품부터 뷰티제품까지 다양한 제품공구 흡족해요^^,5,0,2019-04-16 15:55:46,2019,4,1
아무리 찾아도 없었던 화장품 제품이 여기서 공구를 하고 있다니요!!>< 정말 앞으로 공구 여기입니다ㅠ,5,0,2019-04-02 19:21:02,2019,4,1
다이어트 식품 뷰티제품 등등 제가 찾던 제품들이 진짜 공구로 다 열리고 있더라구요 개이득!!,5,0,2019-04-01 16:56:10,2019,4,1
제가 원래 쓰려고 했던 화장품 여기서 공구로 때리더라구요~ 진짜 개이득이네요,5,0,2019-03-26 22:42:12,2019,3,1
기대이상이네요^^ 화장품에 관심이 많은데 다양한 화장품이 많아서 좋아요 ㅎㅎ,5,0,2018-12-24 21:50:12,2018,12,1
진짜 제대로된 화장품만 판매하시네요^0^,5,0,2018-12-16 02:07:54,2018,12,1
기획전 그리고 이벤트 많이해서 잘만 하면 좋은가격에 득테 할 수있네요 그리고 요번에 제가 좋아하는 인스타 셀럽 있는데 직접 쓰는 화장품이나 다이어트 식품 다있어서 깜놀 ㅋ,5,0,2018-10-28 16:38:21,2018,10,1
"왠만한 쇼핑몰어플중에 제일 최악. 배송도 겁나느리고 받는옷들마다 상태는 최악. 엉덩이쪽에 씨뻘건거 묻어있고 누가입던건지 화장품묻어있고 
이딴거 보내줄꺼면 보내지마세요. 하도 페북에서 홍보하길래 신발이랑 원피스 이것저것 삿더니 결국 다버렸어요. 어플은 당연히 지울꺼고 
다시는 이용안해요.",1,1,2018-08-02 22:37:56,2018,8,0
