,제품명,브랜드,가격,상품정보,썸네일
10,[디오디너리] 그랜액티브 레티노이드 5% 인 스쿠알란 30ml,디오디너리,"24,300","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 개봉 전 36개월, 개봉 후 3개월(제조연월 별도 표기)', '사용방법 저녁에 워터 베이스 세럼 사용 후, 무거운 트리트먼트의 사용 전에 소량을 얼굴 전체에 발라주세요. 다른 레티노이드 트리트먼트와 함께 사용하지 마세요. 자외선 차단제를 꼭 사용해주세요. 개봉 후 냉장보관하세요. 자극이 발생할 경우 사용을 중단하고 의사와 상의하시기 바랍니다. 손상되지 않은 피부에 지시된 대로만 사용하세요. 사용 전 패치 테스트를 권장합니다. 패치 테스팅 가이드 카드 또는 당사 웹사이트의 패치 테스트 상세 가이드를 참조하세요. 어린이의 손이 닿지 않는 곳에 보관합니다.', '주의사항: 레티노이드는 피부를 자외선에 더 민감하게 만들 수 있습니다. 레티노이드 사용 시 자외선 차단은 특히 중요합니다. 이 제품을 레티놀이나 레티노산을 함유한 다른 레티노이드 제품과 함께 사용하지 마세요. 이 제품은 여드름 치료제가 아닙니다. 여드름성 피부에 레티노이드 제품을 사용한다면, 처음 몇 주 동안 일시적으로 여드름이 증가할 수 있습니다.', '참고: 임신 중 혹은 모유 수유 중이라면 그랜액티브 레티노이드와 레티놀 성분을 포함하여 어떠한 형태의 레티노이드를 함유한 제품이던 사용하지 않는 것을 추천 드립니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조원 : 데시엠뷰티그룹INC / 책임판매업자: 데시엠아시아퍼시픽㈜', '제조국 캐나다', '화장품법에 따라 기재해야 하는 모든 성분 스쿠알란, C12-15알킬벤조에이트, 비사보롤, 카프릴릭/카프릭트라이글리세라이드, 다이메틸아이소소바이드, 호호바씨오일, 하이드록시피나콜론레티노에이트, 토마토추출물, 로즈마리잎추출물, 하이드록시메톡시페닐데카논', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것.서 보관할 것. 3. 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것. 나) 직사광선을 피해서 보관할 것.', '품질보증기준 본 제품은 공정거래위원회 고시 소비자 분쟁 해결기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 070-7775-2612']",['./prdimgs/page_14_prd_10_thumb1.jpg']
11,디오디너리 레스베라트롤 3% + 페룰릭 애시드 3% 30ml,디오디너리,"15,100","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 개봉 전 36개월, 개봉 후 6개월(제조연월 별도 표기)', '사용방법 단독으로 바르거나 수분 베이스 세럼 후, 오일이나 무거운 크림 전에 바르세요. 다른 스킨케어 제품과 섞어 사용하셔도 됩니다. 이 젤품은 디오디너리의 비타민C 서스펜션과 섞어 사용해도 되며, 섞을 경우 비타민C, 페룰산, 레스베라트롤의 강력한 항산화제 네트워크를 바를 수 있습니다.', '자극이 발생할 경우 사용을 중단하고 의사와 상의하시기 바랍니다. 손상되지 않은 피부에 지시된 대로만 사용하세요. 사용 전 패치 테스트를 권장합니다. 패치 테스팅 가이드 카드 또는 당사 웹사이트의 패치 테스트 상세 가이드를 참조하세요. 어린이의 손이 닿지 않는 곳에 보관합니다. 냉장 보관하지 마세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조원 : 데시엠뷰티그룹INC / 책임판매업자: 데시엠아시아퍼시픽㈜', '제조국 캐나다', '화장품법에 따라 기재해야 하는 모든 성분 프로판다이올, 레스베라트롤(3%), 페룰릭애시드(3%)', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것.서 보관할 것. 3. 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것. 나) 직사광선을 피해서 보관할 것.', '품질보증기준 본 제품은 공정거래위원회 고시 소비자 분쟁 해결기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 070-7775-2612']",['./prdimgs/page_14_prd_11_thumb1.jpg']
12,CKD 레티노콜라겐 저분자 300 집중크림 25ml,CKD,"38,000","['내용물의 용량 또는 중량 25ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월 / 개봉 후 12개월', '사용방법 ""[사용법] 이 제품은 밤에 사용하는 나이트 케어 크림입니다.', '스킨케어 마지막 단계에서 완두콩 크기 정도를 덜어 얼굴 전체에 얇게 펴발라 흡수시켜 주고, 주름이 고민되는 부위에는 한번 더 덧발라줍니다. (*1회 0.4ml 사용 시 약 62회 사용 가능)""', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 한국콜마(주) / 종근당건강(주)', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 수용성콜라겐(55%), 글리세린, 정제수, 사이클로헥사실록세인, 프로판다이올, 나이아신아마이드, 다이카프릴릴에터, 베타인, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 세틸알코올, 세테아릴알코올, 세테아릴올리베이트, 솔비탄올리베이트, 카프릴릭/카프릭트라이글리세라이드, 다시마추출물, 한련초잎추출물, 병풀추출물, 무화과추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 홀리바질잎추출물, 참산호말추출물, 향기제비꽃잎추출물, 하이드로제네이티드레시틴, 팔마로사오일, 베르가모트오일, 올리브오일, 센티드제라늄꽃오일, 라벤더오일, 캐모마일꽃오일, 연필향나무오일, 오렌지껍질오일, 로즈우드오일, 화이트참파카꽃오일, 소듐하이알루로네이트, 멕시칸주니퍼오일, 오렌지꽃오일, 폴리글리세릴-2스테아레이트, 베헤닐알코올, 글리세릴스테아레이트, 소듐스테아로일글루타메이트, 스테아릴알코올, 펜타에리스리틸다이스테아레이트, 소듐폴리아크릴로일다이메틸타우레이트, 글리세릴스테아레이트에스이, 하이드롤라이즈드콜라겐(2,500ppm), 부틸렌글라이콜, 콜레스테롤, 잔탄검, 하이드롤라이즈드엘라스틴, 아데노신, 프룩토올리고사카라이드, 다이소듐이디티에이, 세라마이드엔피, 베타-글루칸, 레틴알(200ppm), 하이드롤라이즈드하이알루로닉애씨드, 솔비탄라우레이트, 글라이신, 수크로오스다이스테아레이트, 세린, 글루타믹애씨드, 하이드록시에틸셀룰로오스, 아세틸다이펩타이드-1세틸에스터, 아스파틱애씨드, 다이프로필렌글라이콜, 류신, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 발린, 트레오닌, 프롤린, 아이소류신, 히스티딘, 메티오닌, 시스테인, 소듐아세틸레이티드하이알루로네이트, 노나펩타이드-1, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-9, 1,2-헥산다이올, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 하이드록시아세토페논, 에틸헥실글리세린, 카프릴릴글라이콜, 제라니올, 리모넨, 리날룰, 시트로넬올, 시트랄', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 1855-3308']","['./prdimgs/page_14_prd_12_thumb1.jpg', './prdimgs/page_14_prd_12_thumb2.jpg', './prdimgs/page_14_prd_12_thumb3.jpg']"
13,아이소이 모이스춰닥터 장수진 수분앰플 40ml,아이소이,"27,000","['내용물의 용량 또는 중량 40ml', '제품 주요 사양 모든 피부용(민감피부 사용가능)', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 3년 개봉 후 6개월 사용권장', '사용방법 토너로 피부결을 정돈한 후, 스포이드로 적당량을 덜어 얼굴 전체에 고르게 펴 발라주세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 다비드화장품/(주)자연인', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,글리세린,베타인,트레할로오스,스쿠알란,카프릴릭/카프릭트라이글리세라이드,판테놀,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드글라이코사미노글리칸,티트리잎추출물,쇠비름추출물,약모밀추출물,흰버드나무껍질추출물,오레가노잎추출물,편백잎추출물,락토바실러스/콩발효추출물,육계나무껍질추출물,알지닌,카보머,마카다미아씨오일,피토스핑고신,세라마이드엔피,잔탄검,자몽껍질오일,솔비탄세스퀴올리에이트,부틸렌글라이콜,1,2-헥산다이올,프로판다이올,포트마리골드꽃추출물,황금추출물,모란뿌리추출물,스페인감초뿌리추출물,하이드로제네이티드레시틴,리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 화장품 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '', '3) 보관 및 취급 시 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 관련법 및 소비자 분쟁해결 규정에 따름', '소비자상담 전화번호 아이소이 / 1800-9100']","['./prdimgs/page_14_prd_13_thumb1.jpg', './prdimgs/page_14_prd_13_thumb2.jpg']"
14,싸이닉 더 심플 릴리프 수분크림 더블 기획 (80ml+80ml),싸이닉,"18,000","['내용물의 용량 또는 중량 80ml+80ml', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 개봉 전 30개월, 개봉 후 12개월', '사용방법 적당량을 덜어 얼굴 전체에 부드럽게 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)씨엔에프/십일번가주식회사', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 카보머, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄폴리아크릴로일다이메틸타우레이트, 에틸헥실글리세린, 잔탄검, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이소듐이디티에이, 알란토인, 판테놀, 솔비탄아이소스테아레이트, 병풀추출물, 알바수련꽃추출물, 다이프로필렌글라이콜, 소듐하이알루로네이트, 사이클로덱스트린, 마데카소사이드, 보검선인장줄기추출물', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어', '오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과', '상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의해 보상받을 수 있습니다.', '소비자상담 전화번호 1599-6688']","['./prdimgs/page_14_prd_14_thumb1.jpg', './prdimgs/page_14_prd_14_thumb2.jpg']"
15,그라펜 데일리 선 에센스 52g (단품 / 1+1 기획),그라펜,"25,000","['내용물의 용량 또는 중량 52g', '제품 주요 사양 모든 피부타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 본 품 적당량을 취해 피부에 골고루 펴 바른다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜코스메카코리아 / ㈜세이션', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 다이부틸아디페이트, 부틸렌글라이콜, 부틸옥틸살리실레이트, 폴리실리콘-15, 실리카, 디에칠아미노하이드록시벤조일헥실벤조에이트, C12-15알킬벤조에이트, 에칠헥실트리아존, 이소아밀p-메톡시신나메이트, 아크릴레이트코폴리머, 세테아릴올리베이트, 빙하수, 비즈왁스, 솔비탄올리베이트, 소듐스테아로일락틸레이트, 글리세릴스테아레이트, 세테아릴알코올, 카프릴릴글라이콜, 포타슘세틸포스페이트, 솔비탄스테아레이트, 에틸헥실글리세린, 향료, 코코-글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 1,2-헥산다이올, 글리세릴카프릴레이트, 글루코오스, 베타인, 약모밀추출물, 판테놀, 녹차추출물, 쇠비름추출물, 멘톡시프로판다이올, 크랜베리추출물, 유칼립투스잎추출물, 편백수, 하이드롤라이즈드하이알루로닉애씨드, 리날룰, 리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 공정거래위원회 고시 품목별 소비자분쟁 해결기준에 따름', '소비자상담 전화번호 1566-9252']","['./prdimgs/page_14_prd_15_thumb1.jpg', './prdimgs/page_14_prd_15_thumb2.jpg']"
16,닥터디퍼런트 비타아크날 TX 캡슐세럼 30ml,닥터디퍼런트,"34,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 지성,복합성피부, 모든피부', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후12개월', '사용방법 에센스 또는 앰플 단계에서 적당량(3~5방울) 덜어 얼굴에 바른 뒤 두드려 흡수시켜 줍니다.', '※ TX PORE캡슐의 흡수를 위해 얼굴에 롤링하기 보다는 두드려 흡수시키는 것을 권장합니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜코스맥스, ㈜다른코스메틱스', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 나이아신아마이드, 프로판다이올, 리놀레익애씨드, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 잇꽃씨오일, 아이리쉬모스추출물, 사탕수수추출물, 하이드롤라이즈드하이알루로닉애씨드, 티트리잎오일, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 호박가루, 가지열매추출물, 울금뿌리추출물, 홀리바질잎추출물, 참산호말추출물, 드럼스틱씨오일, 로즈힙열매오일, 토코페롤, 폴리글리세린-3, 폴리글리세릴-10라우레이트, 폴리아크릴레이트크로스폴리머-6, 아이소머라이즈드사플라워글리세라이즈, 트로메타민, 구아검, 아가, 에틸헥실글리세린, 소듐파이테이트, 카보머, 잔탄검', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것.', '나. 상처가 있는 부위 등에는 사용을 자제할 것.', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것.', '2) 직사광선을 피해서 보관할 것.', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의해 보상해드립니다."", '소비자상담 전화번호 080.766.5252']",['./prdimgs/page_14_prd_16_thumb1.jpg']
17,헤이네이처 어성초 앰플 20ml (산뜻),헤이네이처,"23,000","['내용물의 용량 또는 중량 20ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일부터 2년 6개월', '사용방법 스킨 다음 단계에서 앰플을 2~3 방울 덜어 가볍게 두드려 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)다비드화장품 / (주)헤이네이처', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,약모밀추출물(20%),부틸렌글라이콜,글리세린,1,2-헥산다이올,판테놀,베타인,백미꽃추출물,월계수잎추출물,유칼립투스잎추출물,마데카소사이드,아시아티코사이드,도금양열매추출물,병풀추출물,녹차추출물,황금추출물,마트리카리아꽃추출물,동충하초추출물,폴리글리세릴-10라우레이트,폴리글리세릴-10미리스테이트,프로판다이올,덱스트린,스클레로튬검,잔탄검,에틸헥실글리세린,유향나무오일,리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 070-4352-5176']","['./prdimgs/page_14_prd_17_thumb1.jpg', './prdimgs/page_14_prd_17_thumb2.jpg']"
18,[온라인몰 단독기획]바이오더마 하이드라비오 세럼 더블기획(40ml+40ml),바이오더마,"52,000","['내용물의 용량 또는 중량 40ml+40ml', '제품 주요 사양 수분 부족, 건성 피부 및 모든 피부', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년 이내의 상품을 순차적으로 발송, 개봉 후 6개월 사용 권장', '사용방법 매일 아침 저녁 세안 후, 토너 사용 후 얼굴과 목에 두드리듯 발라줍니다. 하이드라비오 라인을 같이 사용하시면 더욱 효과적입니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 해외제조원 : 나오스 (NAOS) / 355, 휘 피에르-시몬 라플라스 13290, 엑상프로방스, 프랑스 화장품책임판매업자 : 나오스코리아 (유) 서울시 강남구 테헤란로 137, 11층', '제조국 프랑스', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 자일리톨, 소듐폴리아크릴레이트, 다이메티콘, 사이클로펜타실록세인, 페녹시에탄올, 클로페네신, 트라이데세스-6, 다이소듐이디티에이, 향료, 나이아신아마이드, 피이지/피피지-18/18다이메티콘, 프룩토올리고사카라이드, 만니톨, 소듐하이알루로네이트, 헥실데칸올, 카프릴릭/카프릭트라이글리세라이드, 람노오스, 라미나리아 오크롤레우카추출물, 사과씨추출물, 유채스테롤, 토코페롤', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가. 어린이의 손이 닿지 않는 곳에 보관할 것', '나. 직사광선을 피해서 보관할 것', '4) 살리실릭애씨드 및 그 염류를 함유하고 있으므로 만3세 이하 어린이에게는 사용하지 말 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시「품목별 소비자 분쟁해결기준」에 의해 보상해 드립니다.', '소비자상담 전화번호 02-523-7676']","['./prdimgs/page_14_prd_18_thumb1.jpg', './prdimgs/page_14_prd_18_thumb2.jpg', './prdimgs/page_14_prd_18_thumb3.jpg']"
19,수이스킨 하얀 자작나무 수액 앰플 35ml,수이스킨,"24,000","['내용물의 용량 또는 중량 35ml', '제품 주요 사양 모든 피부용 / 반투명한 백색액상', '사용기한(또는 개봉 후 사용기간) 30개월 / 개봉 후 12개월', '사용방법 아침, 저녁으로 깨끗한 피부에 화장솜 또는 손으로 두드리듯 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자: 한국콜마㈜ / 화장품책임판매업자: ㈜씨엠에스랩', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 자작나무수액, 메틸프로판다이올, 글리세린, 폴리글리세린-3, 1,2-헥산다이올, 메틸글루세스-20, 프로필헵틸카프릴레이트, 베툴린, 소듐하이알루로네이트, 다이카프릴릴에터, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 나이아신아마이드, 잔탄검, 카보머, 트로메타민, 다이소듐이디티에이, 말토덱스트린, 하이드롤라이즈드식물성단백질, 에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 교환/반품/보증조건 및 품질보증기준은 ""소비자기본법""에 따른 소비자 분쟁해결기준에 따라 보상합니다.', '본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상', '소비자상담 전화번호 수이스킨 고객센터 / 1588-3593']","['./prdimgs/page_14_prd_19_thumb1.jpg', './prdimgs/page_14_prd_19_thumb2.jpg', './prdimgs/page_14_prd_19_thumb3.jpg', './prdimgs/page_14_prd_19_thumb4.jpg']"
20,블리블리 인진쑥 밸런스 에센스 150ml,블리블리,"43,000","['내용물의 용량 또는 중량 150 ml / 5.07 fl. oz.', '제품 주요 사양 모든 피부', '사용기한(또는 개봉 후 사용기간) 제조일로부터 24개월', '사용방법 세안 후 스킨케어 첫 단계에서 적당량을 덜어 피부 결을 따라 가볍게 두드려 흡수시킵니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)나투젠/부건코스메틱(주)', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 사철쑥추출물 (100%)', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '가. 어린이의 손이 닿지 않는 곳에 보관할 것', '나. 직사광선을 피해 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상해드립니다.', '소비자 취급 부주의 또는 품질보증기간이 경과된 제품은 피해 보상의 책임을 지지 않습니다.', '소비자상담 전화번호 고객행복센터 1688-6745']",['./prdimgs/page_14_prd_20_thumb1.jpg']
21,[화장솜 증정기획] 바이오더마 하이드라비오 에센스로션 200ml(화장솜 증정),바이오더마,"35,000","['내용물의 용량 또는 중량 200ml', '제품 주요 사양 수분 부족, 건성 피부 및 모든 피부', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년 이내의 상품을 순차적으로 발송, 개봉 후 6개월 사용 권장', '사용방법 화장솜 혹은 손에 적당량을 덜어 마사지하듯 흡수시켜 줍니다. 여러 차례 레이어링해서 사용하면 좋습니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 해외제조원 : 나오스 (NAOS) / 355, 휘 피에르-시몬 라플라스 13290, 엑상프로방스, 프랑스 화장품책임판매업자 : 나오스코리아 (유) 서울시 강남구 테헤란로 137, 11층', '제조국 프랑스', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 메틸프로판다이올, 나이아신아마이드, 피피지-26-부테스-26, 피이지-40하이드로제네이티드캐스터오일, 소듐피씨에이, 다이소듐이디티에이, 살리실릭애씨드, 하이드록시에틸셀룰로오스, 만니톨, 소듐시트레이트, 토코페릴아세테이트, 자일리톨, 헥실데칸올, 세트리모늄브로마이드, 향료, 벤조트라이아졸릴도데실p-크레솔, 람노오스, 소듐하이드록사이드, 사과씨추출물, 유채스테롤, 토코페롤', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시의 주의사항 가. 어린이의 손이 닿지 않는 곳에 보관할 것 나. 직사광선을 피해서 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시「품목별 소비자 분쟁해결기준」에 의해 보상해 드립니다.', '소비자상담 전화번호 02-523-7676']","['./prdimgs/page_14_prd_21_thumb1.jpg', './prdimgs/page_14_prd_21_thumb2.jpg', './prdimgs/page_14_prd_21_thumb3.jpg']"
