question,answers
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,"아무리 찾아도 없는 거면 없는 거죠. 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고 ai를 구분할 수 있는 능력이 필요합니다.
다잉 리올의 사당 답변 나온 질문 찾아봤는데요. 답변에 문제가 매우 많았습니다. 왕눈 질문에 야숨으로 답변하는 건 기본. 사당을 클리어하면 마스터소드를 얻는 퀘스트를 할 수 있다는 왕눈이고 야숨이고 존재하지 않는 내용을 사실인 것 처럼 답변하는(야숨이고 왕눈이고 마스터소드는 특정 사당의 클리어를 요구하지 않음) ai를 채택하셨더라고요. "
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,"   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
      최대한 간결하고 정확한 답변 드려볼게요!
    질문에 대한 답변: 
다잉 리올의 사당은 게임 ""젤다의 전설: 브레스 오브 더 와일드""에 등장하는 장소입니다. 게임 내에서 이 사당을 찾기 위해서는 지도를 사용하거나 검색 엔진을 활용하는 것이 좋습니다. 
 게임 커뮤니티나 포럼에서 도움을 구하는 것도 좋은 방법이 될 수 있습니다. 공략 영상이 없는 경우는 꽤 드물며, 출시 이후 많은 플레이어들이 이 사당을 찾기 위한 방법들을 공유해왔습니다. 
  계속해서 더 관련된 정보를 찾아보시면 도움이 될 것입니다. 행운을 빕니다!
  ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
       ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
 "
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,"안녕하십니까? 답변드려요.
다잉 리올의 사당은 젤다 왕눈 게임에서 중요한 장소 중 하나입니다. 이 사당은 게임 내에서 필수적으로 방문해야 하는 장소이기 때문에 찾기 어렵거나 누락된 것은 아닐 것입니다.
사실, 다잉 리올의 사당은 게임 내에서 상당히 잘 숨겨져 있기 때문에 찾기가 어려울 수 있습니다. 유튜브 공략 영상을 찾아도 찾기 어려울 수 있으니 조금 더 시간을 투자해서 찾아보셔야 할 것 같습니다.
아래에는 다잉 리올의 사당을 찾는데 도움이 될 수 있는 몇 가지 단계를 안내해 드리겠습니다:
1. 다잉 리올의 사당은 젤다 왕눈의 메인 퀘스트 중 하나인 ""저주받은 산""과 관련되어 있습니다. 이 퀘스트를 진행하면서 사당을 찾게 될 것입니다.
2. 일단 ""저주받은 산"" 퀘스트를 받으신 후, 지도를 확인해 보세요. 사당은 주변 지역에 표시됩니다. 지도에서 사당의 위치를 파악하고, 그곳으로 이동하세요.
3. 사당을 찾기 위해서는 주변 지형과 환경을 주의 깊게 살펴보아야 합니다. 게임 내에서 사당은 종종 동굴이나 암벽 등의 숨겨진 곳에 위치해 있을 수 있습니다.
4. 만약 여전히 사당을 찾기 어렵다면, 게임 내에서 사용 가능한 아이템이나 능력을 이용해 주변 환경을 조사해 보세요. 예를 들어, 망원경을 사용하여 먼 거리에서 사당을 발견할 수도 있습니다.
5. 마지막으로, 사당을 찾는 과정에서 어려움을 겪는다면 인터넷 검색 엔진을 활용해 보세요. 다른 플레이어들이 사당을 찾는 데 어떤 전략이나 팁을 사용했는지 알아볼 수 있습니다.
위의 단계를 따라가면서 다잉 리올의 사당을 찾을 수 있을 것입니다. 게임 내에서 숨겨진 장소를 찾는 것은 게임의 재미와 도전이기 때문에 조금 더 노력해 보시기 바랍니다. 행운을 빕니다!
도움이 되시면 좋겠습니다.    "
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,젤다 왕눈 다잉 리올의 사당은 젤다의 전설: 브레스 오브 더 와일드 게임에 있는 장소입니다. 이 사당은 하이랜드 지역에 위치하고 있으며 어려움이 있어 찾기가 어려울 수 있습니다. 게임 내에서 힌트나 지도를 제공하는 NPC나 온라인 커뮤니티를 통해 위치를 알 수 있을 것입니다. 좀 더 자세한 공략을 원한다면 게임 가이드북이나 공식 포럼을 참고해보시는 것을 추천드립니다. 많은 분들이 공략 영상을 찾고 있어 아마도 공략 영상이 준비되어 있을 것입니다.
"... 페러세일 필요 없이 클리어 가능한 사당 이름종여..... 있는 사당이 있습니다. 그 중 하나는 '다잉 리올'입니다. 이 사당은 하이랄 평야 지역에 위치하고 있으며, 해당...","    게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
      최대한 간결하고 정확한 답변 드려볼게요!
  질문에 대한 답변: 
  안녕하세요! 젤다의 전설: 브레스 오브 더 와일드에서는 페러세일 없이도 클리어할 수 있는 사당이 있습니다. 그 중 하나는 '다잉 리올'입니다. 
  이 사당은 하이랄 평야 지역에 위치하고 있으며, 해당 사당을 클리어하면 마스터 소드를 얻을 수 있는 퀘스트를 진행할 수 있습니다. 행운을 빕니다!
   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
         ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
 "
... 사당 고대돌기둥군 꼭대기에 있다고 하는데 전 그자리에 동굴 유적밖에 없거든요..?사당이 아예 안보이는데 어떻게된걸까요ㅜ버그인가요...?아님 제가 못찾는건가요 사당...,티나 쿄자의 사당은 야숨 사당입니다.
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,"안녕하세요!
빠진 곳 한군데는 찾았는데 나머지 하나는 눈이 좀 ㅠㅠ, 맨아래 모든 사당위치 포스팅에서 찾아보시면 좋을 것 같습니다. 직접 찾아보시면 눈에 확 들어오실 거에요! 건강하고 행복한 하루 보내세요!"
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,https://gamemaker28.tistory.com/229
제가 사당 151개를 깼습니다. 하늘에 위치한 사당과 지저의 뿌리는 다 찾았는데 지상의 사당 한개를 못 찾겠어요ㅜㅜ 찾아주세요 안녕하세요? 하늘섬 다시 확인해...,카카리코 마을 사당이 클리어가 안 된걸로 보이네요.
... 질문에 대한 답변: 젤다 왕눈 사당에서 152개의 모든 사당을 클리어하고 조나우 갑옷을 받으셨다면 축하드립니다. 하지만 사진과 같이 사당 퀘스트를 보면 31/31이 아닌...,사당 챌린지의 마지막 하나는 북하이랄 하늘제도의 사당과 수정입니다.
이미 클리어한 사당 안한 사당 구분하는 방법 있나요? 사당 이름 옆에 상자 표시는 뭔가요? 맵보시면 클리어한 사당은 파랑색으로 표시되고 클리어하지 못한 사당은 파랑색에...,"안녕하세요?
빨간원으로 표기한 부분에서 찾아보세요."
사당 안간곳을 못찾겠는데 어디에 있나요? 아직 체력 3칸 못채웠고 축복의 빛은 3개 있어요 이거 하나 비었네요 원래 체력은 꽉 못채우고 두칸 비어요,"안녕하세요?
두 군데 인가요?"
사당 안간곳을 못찾겠는데 어디에 있나요? 아직 체력 3칸 못채웠고 축복의 빛은 3개 있어요 이거 하나 비었네요 원래 체력은 꽉 못채우고 두칸 비어요,클릭 후 확대해서 빨간 원 부분을 찾으세요.
왕눈도 전작 야숨처럼 들어갔다가 덜깨고 나온 사당은 붉은색으로 지도에 워프 표시해주나요? 아니면 아예 표시 안해서 워프도 못하나요. 저번에 하나 들어갔다가 그냥...,"안녕하세요?
모두 체크해 봤는데, 사당은 전부 찾으셨네요...
다만, 한군데 완료를 못하셨어요."
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"혹시 하늘섬 사당들도 깨셨나요?
왕눈의 사당 총 개수는 152개입니다.
하늘에도 십자가 같이 생긴섬에 사당퀘스트들이  존재하니 집중해서 찾아보세요!"
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,아래쪽에 동굴이 있거나 할겁니다. 동굴 찾아서 들어가시면 사당 센서가 반응을 할거에요.
"... 페러세일 필요 없이 클리어 가능한 사당 이름종여..... 있는 사당이 있습니다. 그 중 하나는 '다잉 리올'입니다. 이 사당은 하이랄 평야 지역에 위치하고 있으며, 해당...",하늘 32개 지상 120개 총 152개입니다
... 사당 고대돌기둥군 꼭대기에 있다고 하는데 전 그자리에 동굴 유적밖에 없거든요..?사당이 아예 안보이는데 어떻게된걸까요ㅜ버그인가요...?아님 제가 못찾는건가요 사당...,요거 클리어 안 되어 있네요.
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,맨몸전투도 일반 사당으로 분류되요. 야숨과 동일하게 지상은 120개 입니다.
제가 사당 151개를 깼습니다. 하늘에 위치한 사당과 지저의 뿌리는 다 찾았는데 지상의 사당 한개를 못 찾겠어요ㅜㅜ 찾아주세요 안녕하세요? 하늘섬 다시 확인해...,"안녕하세요?
사당이 총 152개 인건 아시죠? 하늘섬 32개, 지상 120개.
다 찾으셨는데, 아래의 세 군데를 안 깨셔서 완료가 안되신듯 싶네요."
... 질문에 대한 답변: 젤다 왕눈 사당에서 152개의 모든 사당을 클리어하고 조나우 갑옷을 받으셨다면 축하드립니다. 하지만 사진과 같이 사당 퀘스트를 보면 31/31이 아닌...,나머지 못 얻는 거 맞아요. 스태미나 다 채웠을 때 최대 체력이 38칸입니다. 40칸 채우려면 스태미나를 희생해야 합니다.
이미 클리어한 사당 안한 사당 구분하는 방법 있나요? 사당 이름 옆에 상자 표시는 뭔가요? 맵보시면 클리어한 사당은 파랑색으로 표시되고 클리어하지 못한 사당은 파랑색에...,"네. 이번에도 빈칸이 생깁니다. 스태미나에 최대 투자를 했을 경우 2칸 정도가 남아요. 기본 3개, 스태미나 제외하고 축복의빛으로 교환하는 하트 28개, 신전 5개, 하이랄 성 이변 퀘스트 클리어 보상 1개, 마인상 1개 총 38개. 나중에 DLC가 추가되면 어떻게 될 지 모르지만요. 하나 정도 더 추가해 줄 수도 있겠죠?"
이미 클리어한 사당 안한 사당 구분하는 방법 있나요? 사당 이름 옆에 상자 표시는 뭔가요? 맵보시면 클리어한 사당은 파랑색으로 표시되고 클리어하지 못한 사당은 파랑색에...,"     게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
       최대한 간결하고 정확한 답변 드려볼게요!
  질문에 대한 답변: 
  안녕하세요! 젤다 왕눈 하트 최대치에 대해 궁금한 것 같네요. 스테미나가 다 채워져도 하트는 채워지지 않는다는 것은 조금 이상하네요. 
  젤다의 전설: 브레스 오브 더 와일드의 경우, 하트 컨테이너는 사당과 신전을 클리어하면서 얻을 수 있기 때문에 이미 다 깨신 것 같은데요. 혹시 다시한번 맞는지 확인해보시고 다른 조언이 필요하신 경우에는 언제든지 찾아주세요!
   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
        ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
  "
사당 안간곳을 못찾겠는데 어디에 있나요? 아직 체력 3칸 못채웠고 축복의 빛은 3개 있어요 이거 하나 비었네요 원래 체력은 꽉 못채우고 두칸 비어요,"    게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
     최대한 간결하고 정확한 답변 드려볼게요!
 질문에 대한 답변: 
 안녕하세요! 젤다 왕눈은 설한에서 사당을 다 깨고 마지막 신당에서 힘을 얻기 위해 노력하시는군요. 혹시 내려오는 도중에 불꽃열매 같은 것을 먹을 수 없다고 하셨나요? 그렇다면 아쉽게도 처음부터 다시 시작해야 할 것 같습니다. 
 설한에서 사당을 깨기까지의 과정을 다시 진행하고 마지막 신당까지 가면서 필요한 아이템들을 모아가면 되겠습니다. 힘을 내어 계속 도전해보세요!
   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
         ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
  "
왕눈도 전작 야숨처럼 들어갔다가 덜깨고 나온 사당은 붉은색으로 지도에 워프 표시해주나요? 아니면 아예 표시 안해서 워프도 못하나요. 저번에 하나 들어갔다가 그냥...,원으로 체크한 곳 근처 절벽쪽에 동굴입구가 있습니다. 그 안에 깊은 굴로 향하시면 됩니다.
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"    게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
      최대한 간결하고 정확한 답변 드려볼게요!
  질문에 대한 답변: 
  젤다의 전설에서 왕눈을 가논 잡아도 사당에서 사라지진 않습니다. 그러나 왕눈을 잡으면 사당에서 머물며 추가적인 아이템을 획득할 수 있습니다. 
  조심해서 잡으세요!
   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
         ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
 "
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"추가로 궁금하신점은 <채택> 후 댓글이나 <1:1대화> 주시면 더욱 자세하게 알려드리겠습니다.
안녕하세요. 젤다의 전설 왕눈의 문의에 대해 답변 드리겠습니다. 가논잡아도 사당은 사라지지 않습니다. 가논을 잡게 되면 사당은 사라지지 않고 점수만 올라가게 됩니다. 만약 사당이 사라지고 싶다면, 젤다를 통한 가논 잡기 능력을 높이시면 됩니다. 감사합니다."
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"전통적으로 젤다의 전설 시리즈에서는
'가논을 잡은 후' 플레이가 없습니다.
이번 왕눈에서도 가논을 잡으면 클리어, 엔딩을 보게되고요
다시 타이틀에서 불러오기를 해 보면
'가논을 잡기 직전'으로 돌아간 상태가 됩니다.
아마 세이브 파일에는 (엔딩을 봤다는) 별도 표시가 붙고요
그 상태로 나머지 모험을 계속할 수 있습니다.
사당을 발견하거나 드나드는 것,
코로그나 필드 보스 토벌 등
가능합니다.
물론 다회차 플레이로 처음부터 새로 진행도 가능합니다만
대개는 나머지 콘텐츠 찾아 진행도 달성을 해 가는 편이고요
꼭 처음부터 새로 해 보고 싶다면 엎어버리고 새로시작하기 보다
사용자를 새로 만들어서 새 게임을 해 보기도 하지요"
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,"왕눈의 퍼즐 비중은 야숨과 거의 비등하다 보면 됩니다.
왕눈의 대형 던전(전작의 신수 같은 포지션)은 5개로 늘었고, 사당 역시 150여 군데 정도로 늘긴 했으나 정 하기 싫다면 야숨 때 그랬듯 안 할 수는 있겠죠.
단, 전작과 마찬가지로 사당을 클리어해야 체력이나 스테미나를 찍을 수 있고 스펙이 일정 수준을 충족해야 마스터 소드를 뽑을 수 있기에 그러한 부분은 감안해야 합니다.
정 싫다면 퍼즐 요소 없는 오픈월드 게임 몇 가지 추천드리면서 답변 마무리하겠습니다.
- 어쌔신 크리드 오디세이
- 레드 데드 리뎀션2
- GTA5
- 엘더스크롤5 스카이림
- 호라이즌 포비든 웨스트
- 팰월드
- 발헤임
- 그라운디드
- 임모탈 피닉스 라이징
- 인슈라오디드
- 호그와트 레거시
- 엘든 링
- 서브노티카
- 사이버 펑크 2077"
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,안녕하세요 저도 젤다 야숨은 정말 재밌개 했던 유저입니다 하지만 젤다 왕눈도 구매햐서 사용 해보았었으나 개인적으로는 왕눈은 저에게는 별로 매력적으로 다가오지 않았었습니다 야숨에서는 정말 퓨어한 RPG 모험 느낌의 게임이었다면 왕눈에서는 무언갈 창조하면서 만든다는점이 굉장히 복잡하게 다가왔었습니다 그리고 하늘섬이 추가되어서 탐사해야할 구역이 늘었습니다 퍼즐을 싫어하신다면 젤다와는 맞지 않으실것 같고 동물의 숲이나 링피트 추천드려요
... 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고...,"왕눈 퍼즐요소는 야숨과 비슷한 수준입니다. 야숨보다 게임 플레이 분량이 늘어나서 퍼즐도 같이 늘어났을 뿐입니다. 그리고 애초에 젤다는 퍼즐 액션 어드벤처 게임입니다..
두번째로 왕눈 퍼즐은 야숨보다 깰 수 있는 방법이 다양해져서 퍼즐이 쉬워졌다는 평이 많습니다. 깰 수 있는 편법이 되게 많아요.
세번째로 왕눈의 메인요소는 크리에이팅입니다. 창의적인 발상으로 무언가를 만드는 걸 좋아하면 재밌겠지만, 이런게 별로라면 안 맞을 가능성이 높습니다. 
마지막으로 야숨 재밌었으면 왕눈도 재밌을 가능성은 높습니다. 둘의 게임성은 똑같으니까요. 퍼즐이 싫으면 사당을 패스해도 되는 것도 같습니다.
다른 게임은 엘든 링을 추천합니다. 모험하는 느낌이 은근 야숨이랑 비슷하고, 퍼즐없이 전투위주의 오픈필드 게임입니다."
"... 페러세일 필요 없이 클리어 가능한 사당 이름종여..... 있는 사당이 있습니다. 그 중 하나는 '다잉 리올'입니다. 이 사당은 하이랄 평야 지역에 위치하고 있으며, 해당...","여기 있어요
https://www.youtube.com/watch?v=XHmUM2lIaOc"
"... 페러세일 필요 없이 클리어 가능한 사당 이름종여..... 있는 사당이 있습니다. 그 중 하나는 '다잉 리올'입니다. 이 사당은 하이랄 평야 지역에 위치하고 있으며, 해당...",공략
... 사당 고대돌기둥군 꼭대기에 있다고 하는데 전 그자리에 동굴 유적밖에 없거든요..?사당이 아예 안보이는데 어떻게된걸까요ㅜ버그인가요...?아님 제가 못찾는건가요 사당...,"하늘섬 사당도 깨셨나요?
왕눈의 사당은 하늘섬 포함 약 152개입니다!
잘  찾아보세요!"
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,"솔직히 왕눈은 야숨 DLC같은 느낌이라서
이미 야숨에서 너무많은시간을 플레이했기 떄문에 재미없는거 같으시네요
=
그럴떄는 억지로 게임에 재미를 찾아서 하는거보다는 
놓아주세요 나중에 손기술같은것도 다 퇴하되고 까먹은다음에 하면재밌습니다
억지로 무슨 색다른재미를 찾아서 할라면 더재미없습니다  나중에하세요 "
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,"저랑 같은 증상이시네요
야숨 하다가 왕눈 하면 모든 게 단조롭고 지루하긴 하죠
저도 야숨 오래 하고 왕눈 하니까 지루하고 재미가 없었어요
별 대책은 없고 그냥 지루한 사당이나 깨시거나
다른 게임을 찾아 보시는 게 어떠실지.
저는 그냥 사당이나 다 깨 보는 중입니다"
제가 사당 151개를 깼습니다. 하늘에 위치한 사당과 지저의 뿌리는 다 찾았는데 지상의 사당 한개를 못 찾겠어요ㅜㅜ 찾아주세요 안녕하세요? 하늘섬 다시 확인해...,"시즌2(?) 라고는 해도
충분히 독립적으로 플레이 가능한 별개의 게임이고요
딱 시작해 보시고 
스타일 마음에 드셨다고 하면
(시간적, 금전적) 여유가 된다면 야숨부터 먼저 해 보시는 걸 권합니다.
기본적으로
왕국의 눈물은 전편 야생의 숨결에서 각종 게임 시스템이 업그레이드 된 (정확히는 '조정 adjusted'된) 느낌인데요
튜토리얼 (왕눈에서는 '시작의 하늘섬', 야숨에서는 '시작의 대지')을 통해 얻게되는 능력이
차이가 있습니다.
왕국의 눈물은
(울트라핸드 - 스크래빌드 - 트레루프 - 리버레코) 기본이고
야생의 숨결은
(마그넷캐치 - 시커폭탄 - 타임록 - 아이스메이커) 기본이죠
이 능력을 가지고 게임을 풀어가는 방식이라 플레이 방향도 다소 차이가 있는데
아무래도 최신작을 하고 구작을 해 보면 좀더 뭔가 불편함이 느껴질 수도 있을 거 같은데요
야숨을 먼저 플레이한 후에 왕눈을 하게 된다면 
약간 변화된 것에는 적응이 필요하겠지만, 공통 요소도 많아서 금방 익숙해질 겁니다.
(** 그럼에도 처음 야숨만 했을 때에도 전혀 부족함이 없는 완벽한 (Perfect) 게임이었습니다.)
그리고 스토리가 아주 이어지는 것은 아니지만
시간대 / 배경이 이어지기는 해서
지리적 요소도 거의 그대로이고 ('하늘유적'추락으로 지형에 다수 변화가 생기기도 함)
(마을 개수/명칭 동일, 야숨에는 '지상'만 - 왕눈에서 +하늘+지저 확장)
전작의 등장인물들과 충분히 상호작용을 하면서 플레이했다면
신작에서 새로 만나게 될 때 신기함과 반가움 등
임팩트가 배가되는 장점도 있지요
등장인물들도 시작부터 다 알고 하는 거 아닙니다.
게임을 하면서 만나고 경험하면서 알아가는 거죠
그 이전 시리즈를 미리 알아서 인물들을 아는 건 아닙니다.
야숨 때도 그랬고요
왕눈도 아, 이 사람 야숨에서도 만났었지..! 하는 '알아보는 즐거움'인 거죠..
하나만 골라야 한다면
왕눈만 해도 (전작을 플레이 하지 않아도) 지장은 없는데
모처럼 취향에 맞는 게임이라 하면
전작 야숨부터 플레이 하는 걸 추천합니다."
제가 사당 151개를 깼습니다. 하늘에 위치한 사당과 지저의 뿌리는 다 찾았는데 지상의 사당 한개를 못 찾겠어요ㅜㅜ 찾아주세요 안녕하세요? 하늘섬 다시 확인해...,좀 아쉽기는 한데 스토리 진행으로 보면 별 상관 없습니다. 야숨을 먼저 시작했을 때 그 감동과 웅장함 뭐 이런 것들이 제대로 전달될까 약간의 의문이 들긴 합니다만 야숨의 스토리를 직접 경험해보는게 이후 왕눈 스토리 진행과도 연관되는 부분이 있으니 지금 야숨 사서 해 보는 것도 나쁘지 않을 것 같네요.
