업체,국내외 사례 분석,서비스 유형,선정 요인,사람,참고 URL,차별점(강점),예상 타겟층,벤치마킹 기능,Related to 국내외 사례 분석 (서비스 분석)
쓱배송,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),배송,,소연 이,,원하는 날짜와 시간에 배송받기,,,
퀵 배송,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),배송,,소연 이,,"오후 4시30분 전에 주문하면 오늘 바로 받을 수 있음(10만원 이상 배송비 7,000원, 10만원 미만 배송비 12,000원)",,,
매장픽업,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),배송,,소연 이,,"백화점 상품의 경우, 매장에서 픽업가능",,,
선물서비스,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),배송,,소연 이,,"선물하기로 주문 시 신세계백화점 쇼핑백이 동봉되며,전용 선물박스로 배송",,,
빠른출발,에이블리 (https://www.notion.so/7a93d211fd3340f4b7cfafddd5e65f93?pvs=21),배송,,소연 이,,평일 주문 시 24시간 이내 배송출발,,,
로켓력셔리,쿠팡 (https://www.notion.so/9427215a8f7b4c84ba818360e315d8a7?pvs=21),배송,,소연 이,https://www.coupang.com/vp/products/87853865743?vendorItemId=87853865743&isAddedCart=,"스페셜 전용파우치와 박스에 포장, 와우 멤버십 한정 무료배송 및 무료반품",,,
무료배송,무신사 (https://www.notion.so/5d4aae1f68b54b84baaa46bd8f5c466f?pvs=21),배송,,소정 이,,,,,
로켓배송,쿠팡 (https://www.notion.so/9427215a8f7b4c84ba818360e315d8a7?pvs=21),배송,,소연 이,,2만원 이상 로켓배송가능,,,
무료배송,에이블리 (https://www.notion.so/7a93d211fd3340f4b7cfafddd5e65f93?pvs=21),배송,,소연 이,,전 상품 무료배송,,,
화해 배송,화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),배송,,sr c,,화해가 선정한 특정 상품군 무료배송 + 직배송,,,
무료배송,h몰(현대홈쇼핑) (https://www.notion.so/h-39cd7e02507c421db2fe4f8140cdc014?pvs=21),배송,,sr c,,-,,,
일요일오네,CJ 온스타일(CJ ENM 커머스) (https://www.notion.so/CJ-CJ-ENM-f89c4f48e75a4e2f9baca879273fa25d?pvs=21),배송,,sr c,https://www.cj.net/cj_now/view.asp?bs_seq=15518,"1. 휴일 배송 → 배송 못 받는 요일이 없음
2. 뷰티 및 헬스 전용 물류센터 오픈 (군포 물류센터)",,휴일 배송 (토요일 송출하는 TV쇼핑 및 T커머스 방송 상품을 대상),
오늘출발 + 배송 도착시간 예측,네이버쇼핑(네이버 커머스 부문) (https://www.notion.so/eb3e62d83bd54a16ae97cc610e0832b1?pvs=21),배송,,sr c,https://shopping.naver.com/window-products/beauty/9453685550?NaPm=ct%3Dlqxbcwc4%7Cci%3Dshoppingwindow%7Ctr%3Dplvw%7Chk%3Da403026a79d4211b7c24850c9e2646807632b117%7Ctrx%3D,예정 도착시간 및 확률 알림,,,
슈팅배송,11번가 (https://www.notion.so/11-2897321eaec04024af7368dff413f032?pvs=21),배송,,sr c,https://www.11st.co.kr/disp/DTAction.tmall?ID=SHOCKD&ctgrNo=70229,우주패스 구독하면 무료반품/교환 혜택까지!,,오늘 주문하면 내일 도착하는 슈팅배송! 데일리 특가로 나에게 필요한 상품을 매일 빠르게! 우주패스 구독하면 무료반품/교환 혜택까지!,
당일배송 새벽배송,지그재그(카카오스타일) (https://www.notion.so/5655481a9e7a4ea2a3d4e63bda2e8124?pvs=21),배송,,sr c,,특정 시간 이전 주문하면 빠른 출고,,,
뷰티페스타,무신사 (https://www.notion.so/5d4aae1f68b54b84baaa46bd8f5c466f?pvs=21),기타,,소정 이,,,,,
반품-중고,쿠팡 (https://www.notion.so/9427215a8f7b4c84ba818360e315d8a7?pvs=21),기타,,소연 이,,중고제품 세일판매,,,
프리미엄/일반 상품평 분류,지마켓 (https://www.notion.so/f807c94e0d494d8c8fb25d0941e097b0?pvs=21),기타,,sr c,,X,,,
톡딜가,카카오쇼핑 (https://www.notion.so/c66192a7df3c419e902eeac60ed8355d?pvs=21),기타,,소연 이,,제한된 시간에 저렴한 가격으로 구매/채널 추가시 할인쿠폰 겟,,,
쓱콘,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),기타,,소연 이,,매장에서 결제할 때 사용할 수 있는 모바일 상품교환권,,,
카테고리 분류 - 향/무드 기준 분류,네이버쇼핑(네이버 커머스 부문) (https://www.notion.so/eb3e62d83bd54a16ae97cc610e0832b1?pvs=21),기타,,sr c,https://search.shopping.naver.com/aitems,,,무드 카테고리 추천,
뷰티컬리,마켓컬리 (https://www.notion.so/0f138ecd38cc44d0a4035d1fe3ae0077?pvs=21),운영현황,,소정 이,,,,,
뷰티전문관 운영,무신사 (https://www.notion.so/5d4aae1f68b54b84baaa46bd8f5c466f?pvs=21),운영현황,,소정 이,,,,,
리뷰 정리들,,"리뷰, 정리",,,,,,,
"리뷰 - 가장 많이 언급된 키워드 제공                  ",화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),리뷰,,sr c,,"1. 리뷰 데이터를 바탕으로 어떤 퍼스널컬러 유형이 많이 샀는지 알려줌
2. 상품 리뷰에 많이 언급된 키워드 제공",,,
# 태그 검색리뷰와 좋아요 버튼,올리브영몰 (https://www.notion.so/c6dd13479e2e4354a9290050345377d1?pvs=21),리뷰,,소정 이,,,,,
세부 리뷰 필터링,마켓컬리 (https://www.notion.so/0f138ecd38cc44d0a4035d1fe3ae0077?pvs=21),리뷰,,소정 이,,,,,
세부 리뷰 필터링,무신사 (https://www.notion.so/5d4aae1f68b54b84baaa46bd8f5c466f?pvs=21),리뷰,,소정 이,,,,,
상품 리뷰 주제별 필터링 + 내 피부 맞춤,GS 샵 (https://www.notion.so/GS-0493ed4fbeac4f168441b25537d34348?pvs=21),리뷰,,sr c,,,,,
리얼리뷰,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),리뷰,,소연 이,https://www.ssg.com/monm/review.ssg,검색어로 여러 상품을 서치가능/한달사용리뷰 & 백화점제품 필터가능,,,
전체 상품 리뷰 필터링,CJ 온스타일(CJ ENM 커머스) (https://www.notion.so/CJ-CJ-ENM-f89c4f48e75a4e2f9baca879273fa25d?pvs=21),리뷰,,sr c,https://display.cjonstyle.com/p/beautyTester/beautyProductCommentMain,상품 각각의 리뷰를 보는 것이 아니라 필요한 속성에 맞는 모든 상품 리뷰를 볼 수 있어 상품을 찾기 쉬움,20-40,상품 속성 필터링 기능,
,,,,,,,,,
"무신사         ",,,,,,,,,
