이름,리서치 유형,딥 버전 분석,당기순이익,광고선전비,주 판매채널(옵션 정리 필요),주 이용자 층(연령대 / 성별),매출액(영업수익),리서치 상태,대표 페이지,서비스 카테고리,소정,서비스 분석
롯데온,라이트,,영업이익: -1558억 5천 3백만,-,"모바일앱, 자사 홈페이지",-,"113,135",완료,,뷰티,소정 이,"조건부 무료배송 (https://www.notion.so/841cc50a923740afb10291d63941c1be?pvs=21), 스마트픽 서비스 (https://www.notion.so/e83a25515c204cd8b9cebc9bfc466f42?pvs=21)"
옥션,라이트,,,,"모바일앱, 오픈마켓, 자사 홈페이지",40~50대,,시작 전,,뷰티,소연 이,
위메프,라이트,,-538억 8천5백만원,273억 4천만원,"모바일앱, 자사 홈페이지",-,"170,079",완료,,뷰티,소정 이,조건부 무료배송 (https://www.notion.so/5ce859ca8ee243558bca5420bd0a4bc1?pvs=21)
h몰(현대홈쇼핑),라이트,,"67,521,537,922",,"자사 홈페이지, 홈쇼핑","40~60대 여성 가정주부들이다. 라이브는 50~60대, 티커머스는 40~50대 중심","1,101,635",완료,https://www.hmall.com/,뷰티,sr c,무료배송 (https://www.notion.so/10aa466b880949a2b42112b5e84285b9?pvs=21)
티몬,라이트,,"-166,282",33,"모바일앱, 오픈마켓, 자사 홈페이지",30~40대,"120,497",완료,https://home.tmon.co.kr/,뷰티,소연 이,
마켓컬리,딥,배송 쿠폰 새벽 아침 샛별 장바구니 포장 품질 리뷰 지역 쿠팡 박스 (https://www.notion.so/895a71ea155a46ff861c5acef5e33ce1?pvs=21),-2408억 8천 5백만원,-,"모바일앱, 자사 홈페이지",30~40대 회사원,"2,033,500",완료,,뷰티,소정 이,"뷰티컬리 (https://www.notion.so/f51ed60ba3894371bc0f3d145e037518?pvs=21), 특정금액 이상 무료배송 (https://www.notion.so/b01b7ed907a54f848ed804f6daf316ce?pvs=21), 세부 리뷰 필터링 (https://www.notion.so/7c7bb2fcc3c345e7abce50a3ea426296?pvs=21), 동일제품 타 구매고객의 구매품들 리스트 (https://www.notion.so/b0397c5592174439af764a2737c94a61?pvs=21), 컬리로그 (https://www.notion.so/9258a51b8f0e47348af00778cce0f4c6?pvs=21)"
화해,딥,화장품 성분 리뷰(==후기) 피부 정보 타입 민감 분석 비교 유해 트러블 아기 알레르기 광고  (https://www.notion.so/a78625bd615c4e3dbf201af9eb89c9c6?pvs=21),"(12,936,452,183)",,모바일앱,20~40 여성,"19,683",완료,https://www.hwahae.co.kr/,뷰티,sr c,"샘플 체험 / + 꼼평단 설문단(본품 체험) (https://www.notion.so/e22e1c47f1a147ab854cf7def90fba60?pvs=21), 발색 기준 비슷한 제품 추천 + 제형 추천 (https://www.notion.so/4c6748dadff4401582c9655f0b8cc4c2?pvs=21), 화해 배송 (https://www.notion.so/5c67f28666de4606a5e885f21719082b?pvs=21), 제품별 퍼스널컬러 (https://www.notion.so/49509d0d4f3540349b6e6da469b72551?pvs=21), 성분비슷템 (https://www.notion.so/3eaa6a9355184726bc66c4144f6f365c?pvs=21), 리뷰 - 가장 많이 언급된 키워드 제공                   (https://www.notion.so/c9e1ff28d4a54503b0ab7646c6229921?pvs=21)"
지그재그(카카오스타일),딥,옷 쇼핑몰 배송 한눈(한번) 검색 보기 기능 리뷰 → UI 편하다는 평 (https://www.notion.so/UI-1a194bab0f08484d8d9a2b88b995a36f?pvs=21),"(50,144,788)","30,581,197,992",모바일앱,"10대20대, 최근 30대 증가","101,840",완료,https://zigzag.kr/,뷰티,sr c,"당일배송 새벽배송 (https://www.notion.so/f5b9dd98a4f7498e93857412cf993883?pvs=21), 직잭 뷰티 체험단 (https://www.notion.so/be30ac1f57254b7b96d7c0f270e194e6?pvs=21), 개인화 추천 시스템 (https://www.notion.so/3cec4e3234254b1881ccddc68c6cc4dd?pvs=21)"
에이블리,딥,옷 배송 무료(==무배) 쿠폰 리뷰 추천 취소 (https://www.notion.so/37138bb9ff4b4dc39e6d393d45a3c438?pvs=21),"-79,028","43,704",모바일앱,10~40대 골고루,"178,484",완료,https://m.a-bly.com/,뷰티,소연 이,"무료배송 (https://www.notion.so/d92bdb2e6c7e464f89ad573d1de5bc5b?pvs=21), 빠른출발 (https://www.notion.so/f0b1941902974693a1f29293a8f0a02b?pvs=21)"
무신사,딥,옷 굿 쿠폰 배송 브랜드 환불 탈퇴 신사 기업 할인 가격 품질 별로 사이즈 렉 최악 (https://www.notion.so/cb5bb4b915a34bc2bcc870eda67ec2a1?pvs=21),-558억 6백만,"797억 3천 4백만
","모바일앱, 자사 홈페이지",10~20대 남성,"708,348",완료,,뷰티,소정 이,"뷰티전문관 운영 (https://www.notion.so/246a8ff6e5de496da601e3515d852b93?pvs=21), 무료배송 (https://www.notion.so/21a0a1442d124527a97806a7ba7d55a3?pvs=21), 세부 리뷰 필터링 (https://www.notion.so/4fb06089e0204367a59956fde9bce020?pvs=21), 팝업스토어 (https://www.notion.so/445b0b4c996e4987a4a906be3246e620?pvs=21), 뷰티페스타 (https://www.notion.so/7bc56876902a4e94838689fb8d272eba?pvs=21)"
뷰티 산업 분석,,,,,,,,,,,,
